iter	Passed	Remaining
427	1800	2406
428	1805	2402
429	1809	2398
430	1814	2395
431	1818	2390
432	1822	2387
433	1827	2382
434	1831	2378
435	1836	2375
436	1840	2370
437	1845	2367
438	1850	2364
439	1854	2360
440	1858	2355
441	1862	2351
442	1866	2346
443	1870	2342
444	1874	2337
445	1878	2333
446	1882	2328
447	1886	2323
448	1890	2319
449	1894	2315
450	1898	2311
451	1902	2306
452	1906	2302
453	1910	2297
454	1914	2293
455	1918	2288
456	1922	2284
457	1926	2279
458	1930	2275
459	1934	2270
460	1938	2266
461	1942	2261
462	1946	2257
463	1950	2253
464	1954	2249
465	1958	2244
466	1962	2240
467	1966	2235
468	1971	2231
469	1975	2227
470	1978	2222
471	1982	2218
472	1986	2213
473	1991	2209
474	1995	2205
475	1999	2201
476	2004	2197
477	2008	2193
478	2013	2190
479	2017	2185
480	2021	2181
481	2025	2177
482	2029	2172
483	2033	2168
484	2038	2164
485	2042	2159
486	2046	2155
487	2050	2151
488	2054	2147
489	2058	2142
490	2062	2138
491	2066	2133
492	2070	2129
493	2074	2124
494	2078	2120
495	2082	2115
496	2086	2111
497	2090	2107
498	2094	2102
499	2098	2098
500	2102	2094
501	2106	2089
502	2110	2085
503	2114	2080
504	2118	2076
505	2122	2071
506	2126	2067
507	2130	2062
508	2134	2059
509	2138	2055
510	2143	2051
511	2147	2047
512	2152	2042
513	2156	2038
514	2160	2034
515	2164	2030
516	2168	2026
517	2173	2022
518	2177	2017
519	2181	2013
520	2185	2009
521	2189	2004
522	2193	2000
523	2197	1996
524	2201	1992
525	2205	1987
526	2209	1983
527	2213	1978
528	2217	1974
529	2221	1970
530	2225	1965
531	2229	1961
532	2233	1957
533	2237	1952
534	2242	1948
535	2246	1944
536	2250	1940
537	2254	1935
538	2258	1931
539	2262	1926
540	2265	1922
541	2269	1918
542	2273	1913
543	2277	1909
544	2281	1904
545	2285	1900
546	2290	1896
547	2294	1892
548	2298	1888
549	2302	1883
550	2306	1879
551	2310	1874
552	2313	1870
553	2317	1866
554	2321	1861
555	2325	1857
556	2329	1852
557	2333	1848
558	2338	1844
559	2342	1840
560	2346	1836
561	2350	1831
562	2354	1827
563	2357	1822
564	2361	1818
565	2365	1814
566	2369	1809
567	2373	1805
568	2377	1800
569	2381	1796
570	2385	1792
571	2389	1788
572	2393	1783
573	2397	1779
574	2401	1775
575	2405	1770
576	2409	1766
577	2413	1762
578	2417	1757
579	2421	1753
580	2425	1748
581	2429	1744
582	2433	1740
583	2437	1736
584	2441	1732
585	2445	1727
586	2449	1723
587	2453	1719
588	2457	1714
589	2461	1710
590	2465	1706
591	2469	1701
592	2473	1697
593	2477	1693
594	2481	1689
595	2485	1684
596	2489	1680
