iter	RMSE
0	0.2157390717
1	0.2148638183
2	0.2136725693
3	0.2128056997
4	0.211942347
5	0.2109765332
6	0.2100159627
7	0.209163928
8	0.2077977003
9	0.2068928757
10	0.2057555993
11	0.2047496195
12	0.2039189503
13	0.2029239284
14	0.201603365
15	0.2007854601
16	0.1998069648
17	0.1988822252
18	0.1980753601
19	0.1972717683
20	0.1964714368
21	0.1956743522
22	0.194511721
23	0.1937225869
24	0.1929366544
25	0.1920998323
26	0.1909053489
27	0.190042902
28	0.189271898
29	0.1884175972
30	0.187653187
31	0.186891878
32	0.1861336577
33	0.1853785134
34	0.1846264328
35	0.1838774034
36	0.1831314128
37	0.1823884487
38	0.1815659573
39	0.1806820586
40	0.17980426
41	0.1789776388
42	0.1782515265
43	0.1775283601
44	0.1768081276
45	0.1758723228
46	0.1751588088
47	0.1744481895
48	0.1736039087
49	0.1728995977
50	0.172198144
51	0.1714995362
52	0.1708037626
53	0.1699788497
54	0.1692892455
55	0.1686024391
56	0.167918419
57	0.1671630717
58	0.1664848912
59	0.1657366803
60	0.1650218405
61	0.1643523469
62	0.1636855695
63	0.1630214971
64	0.1622771988
65	0.1614261273
66	0.1605816455
67	0.1599301658
68	0.1589766316
69	0.1583316634
70	0.1575712133
71	0.1568160558
72	0.1560661587
73	0.1551351702
74	0.1545057869
75	0.1538789569
76	0.1528937487
77	0.1519179153
78	0.1510128218
79	0.150229608
80	0.1496201265
81	0.1490131177
82	0.1483019372
83	0.1477002763
84	0.1469377516
85	0.1463416251
86	0.1457479172
87	0.1451566179
88	0.1445677175
89	0.1439812063
90	0.1433970745
91	0.1428153126
92	0.1421711313
93	0.1414331104
94	0.1408282553
95	0.1401967579
96	0.1396279796
97	0.1390314001
98	0.1384673498
99	0.1377594534
100	0.1370526504
101	0.1364966278
102	0.1358934733
103	0.134990333
104	0.1344426772
105	0.1338972433
106	0.1333540222
107	0.1328130049
108	0.1322741826
109	0.1317375462
110	0.131203087
111	0.1306237426
112	0.1300938021
113	0.1295660115
114	0.1287536212
115	0.1282312678
116	0.1277110336
117	0.1271675737
118	0.1266516548
119	0.126094323
120	0.1255827583
121	0.1250732691
122	0.1245658468
123	0.1240604832
124	0.1235571698
125	0.1230558984
126	0.1223203354
127	0.1218240818
128	0.1213298415
129	0.1208376064
130	0.1200920626
131	0.1193752093
132	0.118812442
133	0.1183304199
134	0.1178503534
135	0.1173722345
136	0.11685618
137	0.1163820945
138	0.1158873918
139	0.1153425039
140	0.1148745594
141	0.1144085133
142	0.113944358
143	0.1132422264
144	0.1126732371
145	0.1122161218
146	0.111760861
147	0.1113074472
148	0.1108558729
149	0.1103853304
150	0.1097263006
151	0.109281141
152	0.1088377875
153	0.1083962326
154	0.107956469
155	0.1075184897
156	0.1070822872
157	0.1066478543
158	0.1059863323
159	0.1054561681
160	0.1050283324
161	0.1044016153
162	0.1039780579
163	0.103556219
164	0.1031360914
165	0.1025025159
166	0.1020866632
167	0.1014784002
168	0.1010483518
169	0.1006383987
170	0.1002301087
171	0.09982347514
172	0.09938751731
173	0.09873529662
174	0.09833472753
175	0.09793578354
176	0.09753845808
177	0.09695783031
178	0.09653464612
179	0.09614300507
180	0.0955711036
181	0.09518337164
182	0.09479721271
183	0.09441262042
184	0.09402958843
185	0.0936481104
186	0.09309151493
187	0.09271384266
188	0.09233770261
189	0.09178935873
190	0.09141696931
191	0.09104609067
192	0.09064893819
193	0.09028117546
194	0.08991490473
195	0.08955011997
196	0.08918681514
197	0.08882498424
198	0.08828222094
199	0.08790852387
200	0.087551879
201	0.08719668103
202	0.0868429241
203	0.0864753982
204	0.08612456751
205	0.08559875158
206	0.08525147746
207	0.08490561222
208	0.08440243731
209	0.08406001663
210	0.08371898514
211	0.08337933723
212	0.08304106726
213	0.08267959265
214	0.08232986383
215	0.08199585158
216	0.08164908886
217	0.081303866
218	0.08096017565
219	0.08063172023
220	0.08030459734
221	0.0799788016
222	0.0796543276
223	0.07933117
224	0.07900932345
225	0.07868878263
226	0.07836954225
227	0.07805159702
228	0.0777217245
229	0.07740640747
230	0.07707933067
231	0.07676661983
232	0.07645517766
233	0.07614499901
234	0.07568102477
235	0.07537398686
236	0.0750681946
237	0.07475108381
238	0.07444781867
239	0.07414578387
240	0.07384497443
241	0.07339539545
